URL,Query,Date,Clicks,Impressions,Position
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/21/23,1255,2978,19.63636364
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/8/23,1224,3664,11.42857143
https://www.thermofisher.com/us/en/home.html,thermo fisher,10/4/23,1214,2884,20.83333333
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/25/23,1206,3075,34.33333333
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/27/23,1202,3040,11.15384615
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/26/23,1177,2868,2.333333333
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/22/23,1176,3061,11.57142857
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/16/23,1162,3115,10.6
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/19/23,1157,3060,6.090909091
https://www.thermofisher.com/us/en/home.html,thermo fisher,10/3/23,1154,2557,3.75
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/29/23,1145,2759,4.25
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/15/23,1110,2809,1.272727273
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/14/23,1105,2894,0.818181818
https://www.thermofisher.com/us/en/home.html,thermo fisher,10/2/23,1100,2624,1.5
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/23/23,1087,3084,14.7
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/7/23,1075,2880,9.333333333
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/28/23,1061,2635,3.583333333
https://www.thermofisher.com/us/en/home.html,thermo fisher,10/5/23,1056,2628,5
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/5/23,1047,3050,14.66666667
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/24/23,1046,2557,3.333333333
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/11/23,1043,2914,15.91666667
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/21/23,1041,2658,6
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/20/23,1036,2953,13.7
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/14/23,1029,2665,14.71428571
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/1/23,1023,3451,5.3
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/18/23,1016,2905,29.90909091
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/9/23,1001,2593,4.571428571
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/12/23,986,2628,19.42857143
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/28/23,980,2456,1.5
https://www.thermofisher.com/us/en/home.html,thermo fisher,7/6/23,972,2625,5.555555556
https://www.thermofisher.com/us/en/home.html,thermo fisher,7/18/23,968,2336,8.090909091
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/6/23,966,2667,9.571428571
https://www.thermofisher.com/us/en/home.html,thermo fisher,7/25/23,964,2604,16.45454545
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/31/23,964,2694,15.36363636
https://www.thermofisher.com/us/en/home.html,thermo fisher,7/24/23,953,2558,14.22222222
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/30/23,951,2646,8.25
https://www.thermofisher.com/us/en/home.html,thermo fisher,8/17/23,949,2587,10.22222222
https://www.thermofisher.com/us/en/home.html,thermo fisher,7/26/23,947,2730,13
https://www.thermofisher.com/us/en/home.html,thermo fisher,7/10/23,936,2273,1.444444444
https://www.thermofisher.com/us/en/home.html,thermo fisher,9/22/23,919,2060,8.125
